City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Saint-Pierre,RE,2022-08-16 14:46:35,-21.3393,55.4781,71.91,70,40,3.44
143,San Cristobal,VE,2022-08-16 14:46:36,7.7669,-72.225,69.98,48,12,5.14
144,Kaitangata,NZ,2022-08-16 14:46:36,-46.2817,169.8464,48.33,89,100,1.74
145,Asyut,EG,2022-08-16 14:46:36,27.181,31.1837,96.98,16,0,18.84
146,Kieta,PG,2022-08-16 14:46:37,-6.2167,155.6333,78.37,83,100,2.01
147,Saskylakh,RU,2022-08-16 14:46:37,71.9167,114.0833,46.65,91,100,7.07
148,Tasiilaq,GL,2022-08-16 14:46:38,65.6145,-37.6368,50.16,68,100,8.5
149,Quatre Cocos,MU,2022-08-16 14:46:38,-20.2078,57.7625,71.71,74,63,7.45
150,Pucara,PE,2022-08-16 14:46:38,-15.9803,-71.4606,41.13,11,58,6.98
151,Manado,ID,2022-08-16 14:46:39,1.487,124.8455,72.37,100,40,1.14
152,Sena Madureira,BR,2022-08-16 14:46:39,-9.0656,-68.6569,91.13,45,0,5.23
153,Urusha,RU,2022-08-16 14:46:40,54.05,122.9,57.16,97,100,2.64
154,Hasaki,JP,2022-08-16 14:46:40,35.7333,140.8333,82.8,80,100,13.96
155,Filadelfia,US,2022-08-16 14:46:29,39.9523,-75.1638,79.02,53,75,16.11
156,Santa Rosalia,MX,2022-08-16 14:46:41,27.3167,-112.2833,84.33,66,100,4.9
157,Lorengau,PG,2022-08-16 14:46:41,-2.0226,147.2712,79.88,75,98,6.49
158,Susanville,US,2022-08-16 14:46:42,40.4163,-120.653,78.12,36,0,1.01
159,Ibarra,EC,2022-08-16 14:46:42,0.35,-78.1167,68.45,52,9,4.94
160,Faanui,PF,2022-08-16 14:46:42,-16.4833,-151.75,76.96,78,100,18.28
161,Boa Vista,BR,2022-08-16 14:46:43,2.8197,-60.6733,87.78,58,75,13.8
162,Cockburn Town,TC,2022-08-16 14:43:07,21.4612,-71.1419,85.96,70,40,6.91
163,Esperance,AU,2022-08-16 14:46:43,-33.8667,121.9,57.58,82,90,19.42
164,Ranir Bazar,IN,2022-08-16 14:46:44,23.8333,91.3667,85.91,89,40,0.0
165,Choya,RU,2022-08-16 14:46:44,52.0108,86.5467,53.31,51,95,4.25
166,Puerto Leguizamo,CO,2022-08-16 14:46:44,-0.1934,-74.7819,86.16,59,9,2.82
167,Haljala,EE,2022-08-16 14:46:45,59.4336,26.2614,80.6,47,67,8.12
168,Baker City,US,2022-08-16 14:46:45,44.7749,-117.8344,76.64,76,0,0.0
169,Nikolskoye,RU,2022-08-16 14:46:46,59.7035,30.7861,86.88,40,16,4.83
170,Santa Marta,CO,2022-08-16 14:46:19,11.2408,-74.199,82.45,78,20,11.5
171,Vanimo,PG,2022-08-16 14:46:47,-2.6741,141.3028,78.15,86,70,2.13
172,Campos Belos,BR,2022-08-16 14:42:09,-13.0367,-46.7717,89.4,24,11,5.57
173,Puerto Escondido,MX,2022-08-16 14:46:48,15.85,-97.0667,82.74,72,99,2.33
174,Nadym,RU,2022-08-16 14:46:48,65.5333,72.5167,49.87,63,100,17.94
175,Anuradhapura,LK,2022-08-16 14:46:48,8.3565,80.4173,80.26,76,100,6.15
176,Gobabis,NA,2022-08-16 14:46:49,-22.45,18.9667,81.66,5,31,10.85
177,Santa Ana,US,2022-08-16 14:46:49,33.7456,-117.8678,75.04,85,20,1.01
178,Codrington,AU,2022-08-16 14:46:50,-38.2667,141.9667,45.54,91,100,7.25
179,Eyl,SO,2022-08-16 14:46:50,7.9803,49.8164,79.88,71,98,23.38
180,Mayya,RU,2022-08-16 14:46:50,61.7333,130.2811,52.92,93,61,4.34
181,Hithadhoo,MV,2022-08-16 14:46:51,-0.6,73.0833,82.76,76,33,15.01
182,Pisco,PE,2022-08-16 14:46:51,-13.7,-76.2167,62.02,82,75,3.44
183,Porto,PT,2022-08-16 14:46:30,41.1496,-8.611,70.2,79,20,11.99
184,Eagle Pass,US,2022-08-16 14:45:06,28.7091,-100.4995,79.65,90,95,14.58
185,Bilibino,RU,2022-08-16 14:47:52,68.0546,166.4372,42.49,84,100,4.74
186,Monrovia,LR,2022-08-16 14:47:52,6.3005,-10.7969,74.89,83,100,14.23
187,Danilov,RU,2022-08-16 14:47:53,58.1908,40.1717,74.71,59,90,3.02
188,Ulladulla,AU,2022-08-16 14:47:53,-35.35,150.4667,50.72,70,88,4.56
189,Verkhnyaya Toyma,RU,2022-08-16 14:47:54,62.2349,44.9985,71.89,62,100,3.38
190,Korla,CN,2022-08-16 14:47:54,41.7597,86.1469,85.32,25,100,5.5
191,Santa Cruz,BO,2022-08-16 14:46:40,-17.8,-63.1667,68.05,83,75,2.3
192,Gasa,PS,2022-08-16 14:47:55,31.5,34.4667,87.87,60,0,15.08
193,Novikovo,RU,2022-08-16 14:47:55,51.1537,37.8879,84.0,30,100,11.14
194,New Norfolk,AU,2022-08-16 14:47:56,-42.7826,147.0587,46.71,86,3,2.17
195,Port Hedland,AU,2022-08-16 14:47:56,-20.3167,118.5667,64.45,82,2,0.0
196,Taoudenni,ML,2022-08-16 14:47:56,22.6783,-3.9836,111.72,15,10,16.8
197,Todos Santos,MX,2022-08-16 14:47:57,23.45,-110.2167,79.66,81,100,2.82
198,Vawkavysk,BY,2022-08-16 14:47:57,53.1561,24.4513,78.84,60,100,11.27
199,Kavaratti,IN,2022-08-16 14:47:58,10.5669,72.642,81.63,79,51,8.23
200,Sartell,US,2022-08-16 14:47:58,45.6216,-94.2069,70.84,91,0,1.01
201,Pires Do Rio,BR,2022-08-16 14:47:59,-17.2997,-48.2794,85.96,22,12,7.31
202,Nelson Bay,AU,2022-08-16 14:47:59,-32.7167,152.15,55.99,82,9,11.99
203,Katsuura,JP,2022-08-16 14:48:00,35.1333,140.3,80.96,87,91,26.46
204,Itarema,BR,2022-08-16 14:48:00,-2.9248,-39.9167,89.1,41,9,14.83
205,Half Moon Bay,US,2022-08-16 14:44:03,37.4636,-122.4286,67.26,88,100,6.91
206,Maniitsoq,GL,2022-08-16 14:48:01,65.4167,-52.9,40.14,93,100,6.35
207,Wad Rawah,SD,2022-08-16 14:48:01,15.1603,33.1397,90.09,41,98,6.64
208,Taft,IR,2022-08-16 14:48:01,31.7471,54.2088,93.15,9,0,16.11
209,Ketchikan,US,2022-08-16 14:48:02,55.3422,-131.6461,59.47,94,75,3.44
210,Binghamton,US,2022-08-16 14:48:02,42.0987,-75.918,77.47,65,0,4.61
211,Ixtapa,MX,2022-08-16 14:48:03,20.7,-105.2,80.22,81,100,1.43
212,Akdepe,TM,2022-08-16 14:48:03,42.0551,59.3788,93.29,15,0,19.06
213,Pacific Grove,US,2022-08-16 14:46:21,36.6177,-121.9166,56.88,98,100,4.0
214,Ponta Delgada,PT,2022-08-16 14:48:04,37.7333,-25.6667,75.92,57,75,12.66
215,Caravelas,BR,2022-08-16 14:48:04,-17.7125,-39.2481,79.86,51,44,9.06
216,Ostrovnoy,RU,2022-08-16 14:48:05,68.0531,39.5131,69.33,73,77,10.87
217,Krasnoselkup,RU,2022-08-16 14:48:05,65.7,82.4667,50.61,84,100,13.85
218,Davila,PH,2022-08-16 14:48:05,18.4726,120.5763,81.3,79,95,14.56
219,Bergerac,FR,2022-08-16 14:48:06,44.8333,0.5,73.62,83,75,9.22
220,Ponta Do Sol,PT,2022-08-16 14:48:06,32.6667,-17.1,81.23,72,38,2.68
221,Narsaq,GL,2022-08-16 14:48:07,60.9167,-46.05,50.22,99,100,6.67
222,Paamiut,GL,2022-08-16 14:48:07,61.994,-49.6678,41.94,89,100,10.78
223,Sao Raimundo Nonato,BR,2022-08-16 14:45:42,-9.0153,-42.6994,89.47,30,22,11.23
224,Manica,FR,2022-08-16 14:48:08,49.0,-1.1667,77.14,43,78,9.19
225,Mareeba,AU,2022-08-16 14:48:08,-17.0,145.4333,59.72,76,0,3.49
226,Kajaani,FI,2022-08-16 14:48:08,64.2273,27.7285,80.65,54,0,9.22
227,Plettenberg Bay,ZA,2022-08-16 14:49:09,-34.0527,23.3716,60.85,58,93,4.81
228,Severodvinsk,RU,2022-08-16 14:49:09,64.5635,39.8302,80.71,59,45,3.09
229,Shetpe,KZ,2022-08-16 14:49:10,44.1667,52.1167,99.36,12,0,12.01
230,Boshnyakovo,RU,2022-08-16 14:49:10,49.6333,142.1667,58.62,91,0,2.35
231,Rio Gallegos,AR,2022-08-16 14:49:10,-51.6226,-69.2181,35.65,80,0,19.57
232,Flin Flon,CA,2022-08-16 14:49:11,54.7682,-101.865,71.44,78,75,3.44
233,Pochutla,MX,2022-08-16 14:49:11,15.7432,-96.4661,78.82,74,76,2.77
234,Taksimo,RU,2022-08-16 14:49:12,56.3444,114.8794,49.03,90,54,2.17
235,Emirdag,TR,2022-08-16 14:49:12,39.0197,31.15,84.76,26,0,6.42
236,Tuatapere,NZ,2022-08-16 14:49:13,-46.1333,167.6833,47.7,96,100,5.75
237,Los Llanos De Aridane,ES,2022-08-16 14:49:13,28.6585,-17.9182,74.95,81,20,14.97
238,Mwinilunga,ZM,2022-08-16 14:49:13,-11.7358,24.4293,85.21,14,4,10.0
239,Lata,PT,2022-08-16 14:49:14,40.1629,-8.3327,74.91,48,10,14.99
240,Qaqortoq,GL,2022-08-16 14:49:14,60.7167,-46.0333,43.88,99,100,8.37
241,Vao,NC,2022-08-16 14:49:15,-22.6667,167.4833,68.74,95,100,13.38
242,Lubango,AO,2022-08-16 14:46:05,-14.9172,13.4925,80.74,8,4,5.19
243,San Rafael,AR,2022-08-16 14:49:15,-34.6177,-68.3301,61.68,21,3,3.74
244,Alofi,NU,2022-08-16 14:49:16,-19.0595,-169.9187,71.49,64,99,19.57
245,Vostok,RU,2022-08-16 14:49:16,46.4856,135.8833,55.83,95,1,3.33
246,Cayenne,GF,2022-08-16 14:49:16,4.9333,-52.3333,88.09,16,75,3.44
247,Shafranovo,RU,2022-08-16 14:49:17,53.9667,54.7667,65.16,55,6,6.55
248,Malinovoye Ozero,RU,2022-08-16 14:49:17,51.6753,79.7825,57.69,37,49,6.24
249,Fukue,JP,2022-08-16 14:49:18,32.6881,128.8419,82.76,86,100,18.75
250,Talakan,RU,2022-08-16 14:49:18,50.3167,130.3667,60.69,85,21,2.75
